mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,pitch_mean,zcr_mean,centroid_mean,label
-93.69761,116.75256,35.158062,33.952198,21.298409,17.927458,0.5802609,11.371491,7.244747,12.9845085,-1.1423805,5.1811013,0.7985495,292.84872,0.007782726753048781,2682.6635660959437,healthy
-170.51436,244.26158,-17.072618,10.684379,2.917075,-0.6229158,-31.27115,-2.09542,2.44919,-12.834239,-0.36808637,-3.5113776,8.186832,711.8577,0.020871046112804877,998.8505541912676,healthy
-137.11107,118.38227,49.865376,42.966896,24.97533,21.3157,1.7040663,9.370153,4.8446493,12.883626,2.207211,5.1486444,1.8342812,204.2408,0.007628038194444444,2456.153885399216,healthy
-217.34021,257.09064,2.314892,5.187869,0.7251966,-13.490503,-41.898567,13.438087,7.108313,-3.965524,-0.56236625,-21.495903,15.513373,702.2716,0.018956163194444445,950.10371946259,healthy
-124.3835,120.300026,34.536858,35.181587,21.709602,20.496778,0.5079876,11.988911,7.2816963,13.183198,-0.38037187,4.3497624,1.8079196,295.30804,0.00774069393382353,2421.122344302001,healthy
-180.8156,235.3404,-10.930896,18.590866,-4.983603,-2.5733407,-34.00202,-9.134069,7.06594,-14.997275,-1.9535146,-6.044849,5.8485126,684.3808,0.019277535232843136,987.556460275326,healthy
-127.50962,118.79303,42.390404,38.301678,23.929573,23.120321,1.9452362,8.083581,4.4204693,15.082069,4.063898,4.2703185,-0.33314148,259.3685,0.007664998372395833,2491.4022115617954,healthy
-171.98561,242.35768,-8.036638,10.838966,-6.149422,2.6238801,-27.887878,-3.4592228,4.7291245,-5.5003104,4.2232227,-4.2860336,4.606648,690.6058,0.020772298177083332,992.3401390705617,healthy
-158.57968,98.765205,32.728622,30.237164,13.298058,18.257318,8.399707,16.00926,4.4460683,10.931999,3.2081656,8.297214,2.5855231,295.4555,0.019276336896570555,3407.593476706623,healthy
-269.8973,199.22685,2.722911,36.14985,34.45129,3.6611474,-21.152178,0.8729264,7.7344503,-5.871282,0.8803245,-5.425997,-8.905322,833.58124,0.01586867618500317,1054.444328432621,healthy
-101.05983,110.868225,30.197346,27.549076,9.705818,4.5927744,0.5815096,14.4480715,4.2783127,1.3439453,-5.703251,8.538266,0.65470713,354.207,0.00959215666118421,2777.3967974962325,healthy
-220.56213,140.70337,-44.407383,77.08282,67.626076,12.960917,-29.654278,7.554974,15.723676,-13.089135,-10.675284,4.925413,-13.278322,1076.0045,0.02092542146381579,1527.9202443845459,healthy
